,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,0,date,0.1,0.2,0.3,0
257,PAY,,,,,2023-01-24,,,-17.0,
258,PCVX,,,,,2023-01-24,,,-3.0,
259,PDCE,,,,,2023-01-24,,,9.0,
260,PEBO,,,,,2023-01-24,,,22.0,
261,PEGA,,,,,2023-01-24,,,-3.0,
262,PETQ,,,,,2023-01-24,,,-13.0,
263,PFC,,,,,2023-01-24,,,23.0,
264,PFSI,,,,,2023-01-24,,,9.0,
265,PGC,,,,,2023-01-24,,,18.0,
266,PINE,,,,,2023-01-24,,,32.0,
267,PKBK,,,,,2023-01-24,,,30.0,
268,PLAB,,,,,2023-01-24,,,34.0,
269,PLBC,,,,,2023-01-24,,,15.0,
270,PNM,,,,,2023-01-24,,,12.0,
271,PRCT,,,,,2023-01-24,,,-3.0,
272,PRDO,,,,,2023-01-24,,,44.0,
273,PRIM,,,,,2023-01-24,,,25.0,
274,PRK,,,,,2023-01-24,,,5.0,
275,PRLD,,,,,2023-01-24,,,-21.0,
276,PRVB,,,,,2023-01-24,,,-16.0,
277,PSTX,,,,,2023-01-24,,,86.0,
278,PTGX,,,,,2023-01-24,,,-11.0,
279,PTON,,,,,2023-01-24,,,-13.0,
280,PTVE,,,,,2023-01-24,,,56.0,
281,PVBC,,,,,2023-01-24,,,-18.0,
282,QCRH,,,,,2023-01-24,,,13.0,
283,QTRX,,,,,2023-01-24,,,-10.0,
284,QTWO,,,,,2023-01-24,,,-4.0,
285,R,,,,,2023-01-24,,,6.0,
286,RAIN,,,,,2023-01-24,,,-16.0,
287,RARE,,,,,2023-01-24,,,-3.0,
288,RDFN,,,,,2023-01-24,,,-23.0,
289,RDN,,,,,2023-01-24,,,30.0,
290,REFI,,,,,2023-01-24,,,41.0,
291,REPX,,,,,2023-01-24,,,18.0,
292,RETA,,,,,2023-01-24,,,-3.0,
293,RFP,,,,,2023-01-24,,,30.0,
294,RGP,,,,,2023-01-24,,,37.0,
295,RNGR,,,,,2023-01-24,,,58.0,
296,ROOT,,,,,2023-01-24,,,-29.0,
297,RRGB,,,,,2023-01-24,,,-17.0,
298,RRR,,,,,2023-01-24,,,-3.0,
299,RUN,,,,,2023-01-24,,,23.0,
300,RVNC,,,,,2023-01-24,,,-4.0,
301,RVSB,,,,,2023-01-24,,,88.0,
302,RXRX,,,,,2023-01-24,,,-17.0,
303,RYI,,,,,2023-01-24,,,19.0,
304,RYTM,,,,,2023-01-24,,,-4.0,
305,S,,,,,2023-01-24,,,-10.0,
306,SAH,,,,,2023-01-24,,,13.0,
307,SBOW,,,,,2023-01-24,,,23.0,
308,SCHL,,,,,2023-01-24,,,14.0,
309,SCPH,,,,,2023-01-24,,,-25.0,
310,SCWX,,,,,2023-01-24,,,-22.0,
311,SEER,,,,,2023-01-24,,,-30.0,
312,SGFY,,,,,2023-01-24,,,-5.0,
313,SHLS,,,,,2023-01-24,,,-5.0,
314,SIBN,,,,,2023-01-24,,,-8.0,
315,SILK,,,,,2023-01-24,,,-2.0,
316,SLCA,,,,,2023-01-24,,,55.0,
317,SLDB,,,,,2023-01-24,,,-20.0,
318,SM,,,,,2023-01-24,,,19.0,
319,SMG,,,,,2023-01-24,,,-2.0,
320,SMMF,,,,,2023-01-24,,,25.0,
321,SNDR,,,,,2023-01-24,,,25.0,
322,SPFI,,,,,2023-01-24,,,22.0,
323,SPR,,,,,2023-01-24,,,-4.0,
324,SPWH,,,,,2023-01-24,,,70.0,
325,SRCE,,,,,2023-01-24,,,13.0,
326,SRRK,,,,,2023-01-24,,,-12.0,
327,STBA,,,,,2023-01-24,,,19.0,
328,STOK,,,,,2023-01-24,,,-15.0,
329,STRL,,,,,2023-01-24,,,18.0,
330,SWI,,,,,2023-01-24,,,-15.0,
331,SWTX,,,,,2023-01-24,,,-5.0,
332,SXC,,,,,2023-01-24,,,70.0,
333,TCBK,,,,,2023-01-24,,,12.0,
334,TCFC,,,,,2023-01-24,,,15.0,
335,TCI,,,,,2023-01-24,,,13.0,
336,TCPC,,,,,2023-01-24,,,48.0,
337,TCX,,,,,2023-01-24,,,-4.0,
338,TDOC,,,,,2023-01-24,,,-5.0,
339,TELA,,,,,2023-01-24,,,-12.0,
340,TEX,,,,,2023-01-24,,,12.0,
341,TGNA,,,,,2023-01-24,,,32.0,
342,TGTX,,,,,2023-01-24,,,-10.0,
343,THFF,,,,,2023-01-24,,,14.0,
344,THO,,,,,2023-01-24,,,7.0,
345,TIPT,,,,,2023-01-24,,,42.0,
346,TISI,,,,,2023-01-24,,,-21.0,
347,TITN,,,,,2023-01-24,,,15.0,
348,TLS,,,,,2023-01-24,,,-30.0,
349,TMDX,,,,,2023-01-24,,,-2.0,
350,TMHC,,,,,2023-01-24,,,19.0,
351,TMP,,,,,2023-01-24,,,8.0,
352,TNDM,,,,,2023-01-24,,,-3.0,
353,TOL,,,,,2023-01-24,,,11.0,
354,TPH,,,,,2023-01-24,,,29.0,
355,TREE,,,,,2023-01-24,,,-4.0,
356,TRST,,,,,2023-01-24,,,17.0,
357,TSBK,,,,,2023-01-24,,,19.0,
358,TSE,,,,,2023-01-24,,,-5.0,
359,TTMI,,,,,2023-01-24,,,38.0,
360,TUSK,,,,,2023-01-24,,,-22.0,
361,TVTX,,,,,2023-01-24,,,-6.0,
362,TWOU,,,,,2023-01-24,,,-19.0,
363,TWST,,,,,2023-01-24,,,-5.0,
364,UFI,,,,,2023-01-24,,,-18.0,
365,UFPI,,,,,2023-01-24,,,7.0,
366,UNFI,,,,,2023-01-24,,,15.0,
367,UNTY,,,,,2023-01-24,,,24.0,
368,UNVR,,,,,2023-01-24,,,19.0,
369,UPLD,,,,,2023-01-24,,,-18.0,
370,UPWK,,,,,2023-01-24,,,-11.0,
371,UVE,,,,,2023-01-24,,,-12.0,
372,VERI,,,,,2023-01-24,,,-21.0,
373,VERV,,,,,2023-01-24,,,-6.0,
374,VRDN,,,,,2023-01-24,,,-4.0,
375,VRNA,,,,,2023-01-24,,,-6.0,
376,VSH,,,,,2023-01-24,,,28.0,
377,VTYX,,,,,2023-01-24,,,-4.0,
378,VVI,,,,,2023-01-24,,,-5.0,
379,WABC,,,,,2023-01-24,,,11.0,
380,WEAV,,,,,2023-01-24,,,-27.0,
381,WEYS,,,,,2023-01-24,,,23.0,
382,WIRE,,,,,2023-01-24,,,4.0,
383,WK,,,,,2023-01-24,,,-1.0,
384,WMC,,,,,2023-01-24,,,-14.0,
385,WNC,,,,,2023-01-24,,,24.0,
386,WNEB,,,,,2023-01-24,,,67.0,
387,WRBY,,,,,2023-01-24,,,-8.0,
388,WRLD,,,,,2023-01-24,,,-1.0,
389,X,,,,,2023-01-24,,,23.0,
390,XM,,,,,2023-01-24,,,-13.0,
391,ZETA,,,,,2023-01-24,,,-16.0,
392,ZLAB,,,,,2023-01-24,,,-3.0,
393,ZNTL,,,,,2023-01-24,,,-6.0,
394,ZUO,,,,,2023-01-24,,,-20.0,
395,ZYME,,,,,2023-01-24,,,-15.0,
ABG,,,,,,2023-01-31,,,,2
ACCD,,,,,,2023-01-31,,,,-13
ACNB,,,,,,2023-01-31,,,,16
ACT,,,,,,2023-01-31,,,,25
ADPT,,,,,,2023-01-31,,,,-16
AEYE,,,,,,2023-01-31,,,,-28
AFCG,,,,,,2023-01-31,,,,38
AFRM,,,,,,2023-01-31,,,,-9
AI,,,,,,2023-01-31,,,,-7
AIP,,,,,,2023-01-31,,,,-24
AIRS,,,,,,2023-01-31,,,,-26
ALBO,,,,,,2023-01-31,,,,-3
ALEC,,,,,,2023-01-31,,,,-17
ALGT,,,,,,2023-01-31,,,,-1
